time,race1,race2,supplyUsed1,supplyUsed2,supplyMade1,supplyMade2,totalIncome1,totalIncome2,mineralsIncome1,mineralsIncome2,vespeneIncome1,vespeneIncome2,totalResources1,totalResources2,minerals1,minerals2,vespene1,vespene2,activeWorkers1,activeWorkers2,army1,army2,technology1,technology2,lostResources1,lostResources2,winner
264,0,2,48.0,54.0,54.0,54.0,1796,2182,1483,1847,313,335,498,286,203,135,295,151,30,40,1025,1175,925,700,100,0,0
271,0,2,52.0,56.0,54.0,62.0,1874,2216,1539,1903,335,313,38,452,28,265,10,187,30,40,1075,1175,1000,950,100,0,0
279,0,2,52.0,59.0,54.0,62.0,1841,2104,1483,1791,358,313,148,412,98,260,50,152,31,42,1075,1175,1000,950,100,0,0
286,0,2,54.0,61.0,54.0,70.0,1852,2082,1539,1791,313,291,165,243,83,105,82,138,31,42,1075,1350,1000,950,100,0,0
293,0,2,54.0,63.0,54.0,70.0,1824,2210,1511,1875,313,335,175,318,53,140,122,178,32,44,1175,1450,1000,950,100,0,0
300,0,2,61.0,63.0,62.0,70.0,1684,2272,1371,1959,313,313,235,274,73,60,162,214,33,44,1175,1450,1000,950,100,0,0
307,0,2,61.0,64.0,70.0,78.0,1656,2334,1343,2043,313,291,350,351,148,105,202,246,33,46,1175,1450,1150,950,100,0,0
314,0,2,63.0,64.0,70.0,86.0,1964,2373,1651,2015,313,358,415,284,173,90,242,194,35,46,1475,1450,1150,950,100,0,0
321,0,2,65.0,67.0,70.0,86.0,1953,2490,1595,2043,358,447,600,365,318,190,282,175,35,47,1575,1450,1150,1100,100,0,0
329,0,2,69.0,67.0,78.0,86.0,2457,2434,2099,1987,358,447,285,466,88,335,197,131,37,48,1575,1450,1150,1100,100,0,0
336,0,2,70.0,70.0,78.0,109.0,2356,2294,2043,1847,313,447,217,642,63,455,154,187,38,49,1950,1450,1150,1100,100,0,0
343,0,2,71.0,70.0,78.0,109.0,2496,2216,2183,1791,313,425,367,315,173,80,194,235,39,50,1950,1550,1300,1250,100,0,0
350,0,2,74.0,73.0,78.0,109.0,2608,2378,2295,1931,313,447,522,407,288,120,234,287,40,52,2075,1550,1300,1550,100,0,0
357,0,2,79.0,82.0,86.0,109.0,2709,2770,2351,2323,358,447,285,175,128,90,157,85,41,53,2075,1550,1425,1550,100,0,0
364,0,2,80.0,84.0,86.0,109.0,2821,2877,2351,2407,470,470,425,401,308,260,117,141,42,55,2075,2125,1425,1550,100,0,0
371,0,2,84.0,84.0,86.0,109.0,2754,2905,2127,2435,627,470,210,466,88,415,122,51,43,56,2300,2225,1425,1550,100,0,0
379,0,2,90.0,87.0,94.0,109.0,2849,2989,2155,2519,694,470,230,587,153,480,77,107,45,56,2425,2225,1425,1550,100,0,0
386,0,2,92.0,87.0,94.0,109.0,2720,2994,2071,2547,649,447,342,738,293,575,49,163,46,56,2425,2225,1425,1550,100,0,0
393,0,2,92.0,78.0,94.0,109.0,2804,2994,2155,2547,649,447,303,1089,253,870,50,219,47,50,2300,2225,1425,1850,400,450,0
400,0,2,92.0,81.0,102.0,109.0,2860,2569,2211,2099,649,470,713,1235,633,960,80,275,47,50,2425,2225,1425,2150,400,450,0
407,0,2,97.0,84.0,102.0,125.0,2838,2602,2211,2043,627,559,89,1392,58,1045,31,347,47,53,2425,2225,1525,2150,400,450,0
414,0,2,102.0,102.0,102.0,125.0,2770,2821,2099,2127,671,694,419,693,308,270,111,423,47,53,2950,2225,1525,2150,400,450,0
421,0,2,102.0,105.0,102.0,125.0,2742,2804,2071,2155,671,649,544,570,353,75,191,495,47,56,2950,3125,1525,2450,400,450,0
429,0,2,103.0,108.0,110.0,125.0,2692,2866,2043,2239,649,627,156,606,93,185,63,421,47,56,3200,3125,1525,2450,400,450,0
436,0,2,105.0,106.0,110.0,125.0,2580,2894,1931,2267,649,627,196,766,103,265,93,501,47,59,3200,3025,1525,2450,450,550,0
443,0,2,109.0,102.0,126.0,125.0,2580,2972,1931,2323,649,649,412,1136,243,555,169,581,48,59,3525,2825,1525,2450,575,750,0
450,0,2,112.0,99.0,126.0,125.0,2636,2636,1987,1987,649,649,337,1136,163,625,174,511,49,57,3375,2925,1525,2800,775,1050,0
457,0,2,111.0,111.0,126.0,125.0,2586,2798,1959,2127,627,671,263,517,138,180,125,337,50,57,3175,3900,1525,2900,975,1050,0
464,0,2,110.0,109.0,126.0,125.0,2602,3134,1931,2463,671,671,343,893,238,480,105,413,50,57,3175,3800,1525,3100,1075,1150,0
471,0,2,118.0,113.0,126.0,125.0,2630,3140,1959,2491,671,649,313,964,153,475,160,489,50,57,3625,3800,1525,3100,1075,1250,0
479,0,2,119.0,113.0,126.0,125.0,2664,3090,2015,2463,649,627,225,1350,93,785,132,565,51,57,3725,4300,1525,3100,1175,1250,0
486,0,2,122.0,123.0,141.0,125.0,2770,3146,2099,2519,671,627,260,625,123,130,137,495,52,57,3850,4800,1825,3100,1175,1250,0
493,0,2,124.0,122.0,141.0,125.0,2552,3140,1903,2491,649,649,311,1000,148,425,163,575,53,57,3950,4450,1825,3100,1350,1600,0
500,0,2,128.0,124.0,141.0,125.0,2502,3084,1875,2435,627,649,343,1076,108,475,235,601,54,57,4200,4450,1825,3100,1400,1600,0
507,0,2,133.0,123.0,141.0,149.0,2664,3146,2015,2519,649,627,458,1348,175,750,283,598,55,57,4325,4525,1900,3100,1400,1700,0
514,0,2,135.0,135.0,141.0,149.0,2714,3006,2043,2379,671,627,452,725,96,305,356,420,57,57,4550,5500,2000,3100,1400,1700,0
521,0,2,137.0,140.0,141.0,157.0,2524,3062,1875,2435,649,627,404,696,33,300,371,396,57,57,4750,5800,2100,3100,1400,1700,0
529,0,2,138.0,140.0,141.0,157.0,2832,2636,2183,1987,649,649,576,841,151,365,425,476,58,57,5000,6000,2100,3100,1400,1700,0
536,0,2,139.0,143.0,141.0,157.0,2916,2686,2267,2015,649,671,657,671,156,265,501,406,59,57,5000,6100,2100,3100,1400,1700,0
543,0,2,141.0,143.0,141.0,157.0,3000,2720,2351,2071,649,649,627,1202,96,720,531,482,60,57,5050,6100,2100,3100,1400,1700,0
550,0,2,149.0,137.0,149.0,157.0,3090,2882,2351,2211,739,671,428,1533,76,975,352,558,62,51,5050,6100,2300,3100,1400,2000,0
557,0,2,141.0,133.0,149.0,157.0,3370,2742,2519,2071,851,671,573,1568,171,930,402,638,62,51,4450,5900,2300,3100,1950,2500,0
564,0,2,140.0,133.0,149.0,157.0,3291,2614,2463,1987,828,627,789,1780,266,1070,523,710,64,51,4350,6100,2400,3100,2050,2600,0
571,0,2,144.0,135.0,149.0,157.0,3213,2625,2407,1819,806,806,361,1662,46,990,315,672,65,51,4450,5925,2500,3100,2150,2775,0
579,0,2,139.0,135.0,149.0,157.0,3241,2714,2435,1819,806,895,396,1979,56,1195,340,784,67,53,3875,5825,2600,3100,2850,2875,0
586,0,2,139.0,149.0,149.0,157.0,3297,2754,2491,1791,806,963,697,755,261,305,436,450,67,54,4275,7125,2600,3100,2850,3150,0
593,0,2,144.0,149.0,157.0,157.0,3448,2866,2575,1903,873,963,469,1088,46,530,423,558,67,56,4600,7125,2600,3100,2850,3150,0
600,0,2,140.0,144.0,157.0,157.0,3577,2843,2659,1903,918,940,902,1416,371,750,531,666,67,56,4500,6825,2600,3100,3425,3450,0
607,0,2,140.0,152.0,157.0,157.0,3566,2849,2603,1931,963,918,439,1259,21,485,418,774,67,56,4500,7000,2600,3100,3800,3575,0
614,0,2,141.0,152.0,165.0,157.0,3487,2877,2547,1959,940,918,1076,1111,496,225,580,886,67,56,4625,7500,2600,3100,3850,3775,0
621,0,2,148.0,146.0,165.0,157.0,3325,2798,2407,1903,918,895,544,1443,31,445,513,998,67,56,4725,7125,2600,3100,3950,4150,0
629,0,2,152.0,144.0,165.0,157.0,3487,2905,2547,1987,940,918,746,1805,246,695,500,1110,67,56,5000,7025,2500,3100,4050,4250,0
636,0,2,156.0,157.0,165.0,181.0,3543,3006,2603,2043,940,963,552,1011,86,35,466,976,68,56,5275,6925,2500,3100,4175,4350,0
643,0,2,158.0,157.0,165.0,181.0,3549,3034,2631,2071,918,963,910,1364,336,280,574,1084,68,56,5575,7525,2500,3100,4175,4350,0
650,0,2,157.0,149.0,165.0,181.0,3482,2899,2519,1959,963,940,561,1693,96,505,465,1188,68,56,5475,6825,2500,3100,4375,5050,0
657,0,2,161.0,152.0,165.0,181.0,3431,2910,2491,2015,940,895,734,1446,186,150,548,1296,68,56,5575,6825,2500,3100,4375,5050,0
664,0,2,159.0,138.0,165.0,181.0,3381,2882,2463,1987,918,895,852,1793,221,385,631,1408,69,56,5850,6350,2400,3100,4875,5825,0
671,0,2,163.0,141.0,173.0,181.0,3375,2821,2435,1903,940,918,628,1369,56,145,572,1224,69,59,6375,6250,2625,3100,4875,5925,0
679,0,2,167.0,141.0,173.0,181.0,3319,2793,2379,1875,940,918,650,1367,66,235,584,1132,70,60,6500,6250,2750,3100,4875,5925,0
686,0,2,167.0,141.0,173.0,181.0,2961,2798,2043,1791,918,1007,837,1584,166,340,671,1244,70,60,6325,6250,2750,3350,5275,5925,0
693,0,2,171.0,140.0,173.0,181.0,2955,2787,2015,1847,940,940,669,1623,61,425,608,1198,72,60,6375,5900,2750,3350,5325,6275,0
700,0,2,168.0,141.0,188.0,181.0,3000,2910,2015,2015,985,895,570,1687,146,535,424,1152,72,60,6875,6100,3000,3350,5375,6375,0
707,0,2,173.0,147.0,188.0,189.0,2910,2966,1903,2071,1007,895,636,1553,121,285,515,1268,72,58,6975,6500,3000,3500,5375,6575,0
714,0,2,171.0,153.0,188.0,189.0,2888,2994,1903,2099,985,895,658,1375,56,145,602,1230,72,58,6500,6500,3225,3850,5900,6575,0
721,0,2,170.0,149.0,188.0,189.0,2899,2989,1959,2071,940,918,771,1742,186,400,585,1342,72,58,6500,7425,3125,3850,6050,6775,0
729,0,2,155.0,135.0,188.0,204.0,2446,3056,1595,2071,851,985,575,2088,61,630,514,1458,72,58,5225,6575,3125,3850,7383,7625,0
736,0,2,160.0,150.0,188.0,204.0,2821,3084,2015,2099,806,985,505,1546,41,130,464,1416,72,58,5750,7175,3125,3850,7383,7625,0
743,0,2,160.0,150.0,188.0,204.0,3627,2653,2799,1735,828,918,634,1835,91,315,543,1520,71,58,5750,7175,2900,3850,7658,7625,0
750,0,2,150.0,150.0,188.0,204.0,3762,2518,2911,1623,851,895,699,1993,181,365,518,1628,70,58,4975,6875,2900,3850,8633,7925,0
757,0,2,148.0,166.0,188.0,204.0,2933,2714,2239,1819,694,895,661,530,171,140,490,390,68,58,5425,6775,2900,3850,8783,8025,0
764,0,2,141.0,152.0,188.0,204.0,2664,2938,2015,2043,649,895,811,886,266,380,545,506,68,61,4925,8175,2900,3850,9333,8725,0
771,0,2,150.0,152.0,188.0,204.0,3224,3073,2575,2155,649,918,582,1258,136,640,446,618,68,61,5375,8175,2900,3850,9333,8725,0
779,0,2,156.0,152.0,188.0,204.0,3448,3224,2799,2239,649,985,757,1640,256,910,501,730,68,61,5625,6575,2900,3850,9333,8725,0
786,0,2,158.0,152.0,188.0,204.0,3482,3118,2855,2155,627,963,703,2013,151,1175,552,838,69,61,5850,6575,2900,3850,9383,8725,0
793,0,2,162.0,170.0,188.0,204.0,3414,3157,2743,2239,671,918,603,512,21,170,582,342,69,61,6025,8375,2900,3850,9383,8725,0
800,0,2,164.0,166.0,188.0,204.0,3498,3218,2827,2323,671,895,1073,909,411,455,662,454,69,61,6100,9750,3000,3850,9483,8925,0
807,0,2,153.0,158.0,188.0,204.0,3414,3162,2743,2267,671,895,934,1291,446,725,488,566,69,61,5275,9225,3150,3850,10458,9450,0
814,0,2,146.0,123.0,188.0,204.0,3532,3269,2771,2351,761,918,515,1702,231,1020,284,682,69,61,4850,5775,3300,3850,11358,12900,0
821,0,2,154.0,139.0,188.0,204.0,3616,3370,2855,2407,761,963,693,889,321,245,372,644,69,61,5500,6175,3300,3850,11358,13400,0
829,0,2,160.0,142.0,188.0,204.0,3498,3364,2715,2379,783,985,279,582,11,180,268,402,69,61,5600,6175,3300,3850,11358,13400,0
836,0,2,157.0,138.0,188.0,204.0,3577,3381,2659,2463,918,918,375,966,41,460,334,506,69,61,5425,5725,3200,3850,11633,13850,0
843,0,2,160.0,138.0,180.0,204.0,3526,3302,2631,2407,895,895,405,1354,96,740,309,614,67,61,5875,5725,3200,3850,12058,13850,0
850,0,2,166.0,138.0,180.0,204.0,3437,3269,2631,2351,806,918,450,645,66,415,384,230,66,61,6350,5950,3200,3850,12108,14225,0
857,0,2,171.0,150.0,180.0,204.0,3409,3386,2491,2491,918,895,527,202,43,110,484,92,69,61,6950,5950,3200,3850,12108,14225,0
864,0,2,175.0,148.0,180.0,204.0,3297,3353,2379,2435,918,918,435,589,93,385,342,204,69,61,7175,6825,3200,3850,12108,14225,0
871,0,2,174.0,146.0,180.0,204.0,3347,3476,2407,2491,940,985,327,995,128,675,199,320,69,61,7225,6725,3300,3850,12158,14325,0
879,0,2,164.0,138.0,180.0,204.0,3358,3510,2463,2547,895,963,250,1409,118,985,132,424,69,61,7075,6325,3300,3850,12833,15325,0
886,0,2,168.0,106.0,180.0,204.0,3291,3465,2351,2547,940,918,351,1203,153,975,198,228,69,61,7400,3525,3300,3850,13033,18125,0
893,0,2,170.0,119.0,180.0,204.0,3566,3414,2603,2519,963,895,347,720,233,380,114,340,69,61,7350,4025,3300,3850,13083,18525,0
900,0,2,172.0,105.0,180.0,204.0,3918,3386,3023,2491,895,895,327,1132,188,680,139,452,69,61,7225,3325,3300,3850,13433,19225,0
907,0,2,163.0,88.0,195.0,196.0,3958,3353,2995,2435,963,918,203,1543,98,975,105,568,69,57,6550,2225,3300,3850,14233,20625,0
914,0,2,164.0,100.0,195.0,196.0,3263,2989,2323,2127,940,862,436,971,123,305,313,666,71,56,6550,1825,3300,3850,14408,21375,0
921,0,2,168.0,99.0,195.0,196.0,2815,2927,1931,2099,884,828,387,737,43,275,344,462,71,55,6825,2725,3300,3850,14758,21725,0
929,0,2,167.0,97.0,195.0,196.0,2944,2933,2183,2127,761,806,512,1080,78,530,434,550,71,55,6875,2550,3300,3850,15283,21900,0
936,0,2,160.0,93.0,195.0,196.0,3078,2922,2463,2183,615,739,575,1435,223,805,352,630,71,55,6250,2350,3400,3850,16133,22100,0
943,0,2,162.0,101.0,195.0,196.0,3157,2950,2575,2211,582,739,676,531,323,155,353,376,71,55,6300,2150,3400,3850,16483,22600,0
950,0,2,164.0,104.0,195.0,196.0,3851,3006,3247,2267,604,739,858,733,458,265,400,468,71,55,6725,3675,3400,3850,16483,22600,0
957,0,2,168.0,107.0,195.0,196.0,3594,2810,2967,2071,627,739,494,760,143,350,351,410,71,59,6675,3675,3400,3850,16583,22600,0
964,0,2,166.0,104.0,195.0,196.0,3566,2933,2939,2127,627,806,892,1121,473,615,419,506,71,59,6750,3375,3400,3850,16833,22900,0
971,0,2,164.0,112.0,195.0,196.0,3398,2983,2771,2155,627,828,713,768,393,170,320,598,71,59,6525,4000,3550,3850,17283,23275,0
979,0,2,154.0,95.0,195.0,196.0,3834,2916,3163,2155,671,761,378,1097,78,415,300,682,71,59,5675,2850,3550,3850,18308,24425,0
986,0,2,139.0,91.0,195.0,196.0,3773,2888,3079,2183,694,705,481,1264,143,500,338,764,71,59,4500,2800,3550,3850,19608,24975,0
993,0,2,139.0,97.0,195.0,196.0,3879,2966,3163,2351,716,615,379,1015,78,475,301,540,71,59,3975,2800,3550,3850,20408,24975,0
1000,0,2,144.0,97.0,195.0,196.0,3739,2849,3023,2267,716,582,428,1047,93,585,335,462,71,59,4225,2800,3550,3850,20508,24975,0
1007,0,2,151.0,97.0,195.0,196.0,3470,2793,2687,2211,783,582,450,1079,98,695,352,384,71,59,4375,2800,3550,3850,20508,24975,0
1014,0,2,157.0,107.0,195.0,196.0,3605,2860,2687,2211,918,649,492,560,178,350,314,210,71,59,4725,3675,3550,3850,20608,24975,0
1021,0,2,164.0,114.0,195.0,196.0,3661,2810,2743,2183,918,627,394,458,43,180,351,278,71,59,5100,4175,3550,3850,20608,25075,0
1029,0,2,165.0,119.0,195.0,196.0,3778,2905,2883,2323,895,582,591,322,153,180,438,142,73,59,5350,4475,3550,3850,20708,25075,0
1036,0,2,172.0,119.0,195.0,196.0,3739,2821,2799,2239,940,582,746,158,213,140,533,18,73,59,6000,4650,3700,3850,20708,25075,0
1043,0,2,178.0,119.0,195.0,204.0,3700,2877,2715,2295,985,582,1022,510,423,420,599,90,73,59,6400,4650,4000,3850,20708,25075,0
1050,0,2,180.0,115.0,195.0,212.0,3364,2765,2379,2183,985,582,1114,851,553,685,561,166,73,59,6325,4750,4000,3850,20833,25175,0
1057,0,2,182.0,110.0,195.0,212.0,3683,2927,2743,2323,940,604,1433,903,793,815,640,88,73,59,6900,4425,4000,3850,20933,25800,0
1064,0,2,178.0,124.0,195.0,212.0,3605,2882,2687,2211,918,671,1161,444,713,280,448,164,73,59,6275,5050,4150,3850,21883,25975,0
1071,0,2,180.0,105.0,195.0,212.0,3605,2759,2687,2155,918,604,642,768,453,540,189,228,73,59,5875,3725,4150,3850,22133,26900,0
1079,0,2,176.0,99.0,195.0,212.0,3627,2877,2687,2295,940,582,243,1016,113,720,130,296,73,59,5350,3425,4150,4150,22908,27300,0
1086,0,2,175.0,97.0,195.0,212.0,3627,2871,2687,2267,940,604,120,357,103,135,17,222,73,59,5375,1650,4150,3900,23058,29325,0
1092,0,2,175.0,74.0,195.0,212.0,3627,2810,2687,2183,940,627,120,354,103,210,17,144,73,59,5375,900,4150,3700,23058,31275,0
7,0,2,13.0,13.0,15.0,15.0,293,251,293,251,0,0,35,30,35,30,0,0,12,12,0,0,0,0,0,0,0
14,0,2,14.0,14.0,15.0,15.0,643,671,643,671,0,0,65,70,65,70,0,0,13,13,0,0,0,0,0,0,0
21,0,2,14.0,14.0,15.0,15.0,699,727,699,727,0,0,50,45,50,45,0,0,13,13,0,0,0,0,0,0,0
29,0,2,15.0,15.0,15.0,15.0,643,783,643,783,0,0,75,90,75,90,0,0,14,14,0,0,0,0,0,0,0
36,0,2,15.0,15.0,15.0,15.0,699,811,699,811,0,0,125,140,125,140,0,0,14,14,0,0,0,0,0,0,0
43,0,2,16.0,16.0,23.0,23.0,783,811,783,811,0,0,70,25,70,25,0,0,15,15,0,0,0,0,0,0,0
50,0,2,16.0,17.0,23.0,23.0,811,811,811,811,0,0,40,45,40,45,0,0,15,16,0,0,0,0,0,0,0
57,0,2,17.0,18.0,23.0,23.0,727,755,727,755,0,0,80,40,80,40,0,0,16,17,0,0,0,0,0,0,0
64,0,2,18.0,19.0,23.0,23.0,755,895,755,895,0,0,165,132,165,132,0,0,17,18,0,0,0,0,0,0,0
71,0,2,18.0,19.0,23.0,23.0,771,895,727,895,44,0,258,192,250,192,8,0,17,18,0,0,0,0,0,0,0
79,0,2,18.0,20.0,23.0,23.0,810,922,699,811,111,111,355,307,335,287,20,20,18,19,0,0,0,0,0,0,0
86,0,2,19.0,21.0,23.0,23.0,715,995,559,839,156,156,390,223,350,187,40,36,18,20,0,0,0,150,0,0,0
93,0,2,20.0,21.0,23.0,23.0,850,995,671,839,179,156,390,338,380,282,10,56,18,21,0,0,150,150,0,0,0
100,0,2,20.0,21.0,23.0,23.0,911,1051,755,895,156,156,346,473,320,397,26,76,19,21,0,0,150,150,0,0,0
107,0,2,20.0,21.0,23.0,23.0,911,1107,755,951,156,156,466,203,420,107,46,96,19,21,0,0,150,150,0,0,0
114,0,2,20.0,22.0,23.0,23.0,911,1107,755,951,156,156,81,183,15,67,66,116,19,21,0,0,150,150,0,0,0
121,0,2,20.0,22.0,23.0,23.0,911,1130,755,951,156,179,146,193,60,57,86,136,19,21,0,0,150,300,0,0,0
129,0,2,22.0,25.0,23.0,31.0,883,1074,727,895,156,179,151,138,45,32,106,106,19,22,100,0,150,300,0,0,0
136,0,2,22.0,25.0,23.0,31.0,934,1191,755,1035,179,156,266,134,140,62,126,72,19,22,100,0,150,300,0,0,0
143,0,2,22.0,26.0,31.0,31.0,990,1124,811,923,179,201,186,207,140,107,46,100,20,23,150,0,150,300,0,0,0
150,0,2,23.0,27.0,31.0,31.0,1191,1186,1035,895,156,291,27,358,15,222,12,136,20,24,150,175,150,300,0,0,0
157,0,2,23.0,28.0,31.0,31.0,1191,1208,1035,895,156,313,157,78,125,52,32,26,20,23,150,175,150,300,0,0,0
164,0,2,24.0,29.0,31.0,31.0,1219,1264,1063,951,156,313,182,179,130,117,52,62,21,24,150,175,150,300,0,0,0
171,0,2,24.0,29.0,31.0,31.0,1247,1208,1091,895,156,313,327,269,255,167,72,102,21,24,150,175,150,300,0,0,0
179,0,2,25.0,31.0,31.0,46.0,1275,1146,1119,811,156,335,417,209,325,67,92,142,22,25,150,175,250,300,0,0,0
186,0,2,27.0,32.0,46.0,46.0,1124,1253,923,895,201,358,361,264,245,82,116,182,23,26,150,350,600,300,0,0,0
193,0,2,30.0,33.0,46.0,54.0,1275,1314,1007,979,268,335,123,420,100,202,23,218,23,27,150,350,600,550,0,0,0
200,0,2,31.0,34.0,46.0,54.0,1398,1404,1063,1091,335,313,238,241,175,137,63,104,24,28,150,350,600,550,0,0,0
207,0,2,31.0,35.0,46.0,54.0,1314,1516,979,1203,335,313,248,136,145,92,103,44,24,29,250,350,600,550,0,0,0
214,0,2,33.0,37.0,46.0,54.0,1510,1516,1175,1203,335,313,388,116,245,32,143,84,25,31,350,350,600,550,0,0,0
221,0,2,36.0,38.0,46.0,54.0,1628,1572,1315,1259,313,313,439,271,285,147,154,124,26,32,350,350,600,550,0,0,0
229,0,2,39.0,39.0,46.0,54.0,1902,1650,1567,1315,335,335,414,226,320,62,94,164,27,33,350,350,850,550,0,0,0
236,0,2,43.0,40.0,46.0,54.0,1846,1841,1511,1483,335,358,489,396,355,192,134,204,29,34,350,350,850,550,0,0,0
243,0,2,43.0,43.0,46.0,54.0,1964,1846,1651,1511,313,335,390,282,245,92,145,190,29,35,450,350,850,550,0,0,0
250,0,2,46.0,44.0,46.0,54.0,1936,1964,1623,1651,313,313,505,363,320,137,185,226,31,37,550,525,850,800,0,0,0
257,0,2,46.0,46.0,46.0,54.0,2042,1964,1707,1651,335,313,700,348,475,82,225,266,32,37,750,525,850,800,0,0,0
264,0,2,49.0,47.0,54.0,54.0,2154,2048,1819,1735,335,313,795,463,555,157,240,306,33,38,750,525,925,950,0,0,0
271,0,2,52.0,51.0,62.0,62.0,1992,2126,1679,1791,313,335,156,373,80,127,76,246,33,39,800,700,925,1100,0,0,0
279,0,2,55.0,53.0,62.0,62.0,1958,2093,1623,1735,335,358,201,433,85,197,116,236,35,39,850,875,925,1100,0,0,0
286,0,2,60.0,53.0,62.0,62.0,1790,2182,1455,1847,335,335,91,604,60,332,31,272,37,39,850,1300,1000,1250,0,0,0
293,0,2,60.0,58.0,62.0,62.0,1908,2160,1595,1735,313,425,322,475,255,272,67,203,37,39,900,1300,1000,1250,0,0,0
300,0,2,61.0,59.0,62.0,62.0,2266,1958,1931,1511,335,447,592,337,485,182,107,155,39,38,850,1475,1000,1250,100,143,0
307,0,2,63.0,61.0,70.0,70.0,2546,1622,2211,1287,335,335,192,437,45,242,147,195,39,38,850,1825,1000,1250,100,143,0
314,0,2,65.0,61.0,70.0,70.0,2412,1975,2099,1595,313,380,413,624,230,377,183,247,41,38,1150,1925,1000,1250,100,143,0
321,0,2,65.0,62.0,70.0,70.0,2490,2194,2155,1679,335,515,383,784,210,477,173,307,43,40,1325,1925,1000,1250,200,143,0
329,0,2,61.0,60.0,70.0,70.0,2266,2166,1931,1651,335,515,653,1025,440,662,213,363,43,41,1225,1750,1000,1250,400,318,0
336,0,2,65.0,68.0,70.0,70.0,1981,2255,1623,1763,358,492,527,456,395,237,132,219,45,41,1175,1575,1000,1250,450,493,0
343,0,2,67.0,68.0,101.0,78.0,2199,2233,1707,1763,492,470,656,427,460,252,196,175,45,41,1175,2275,1000,1250,450,493,0
350,0,2,66.0,69.0,101.0,78.0,2552,2261,1903,1791,649,470,711,682,560,447,151,235,47,43,975,2275,1000,1250,650,493,0
357,0,2,66.0,70.0,101.0,78.0,2798,2261,2127,1791,671,470,907,567,680,422,227,145,47,43,975,2275,1300,1250,650,493,0
364,0,2,67.0,71.0,101.0,78.0,2468,2283,1819,1791,649,492,1128,382,825,177,303,205,48,44,1075,2275,1300,1250,650,493,0
371,0,2,65.0,64.0,101.0,78.0,2110,2390,1483,1875,627,515,1351,657,976,392,375,265,47,46,1025,1575,1300,1250,1025,1193,0
379,0,2,66.0,72.0,101.0,86.0,2194,2339,1567,1847,627,492,1162,239,736,122,426,117,47,47,1075,2100,1300,1250,1025,1193,0
386,0,2,68.0,72.0,101.0,86.0,2373,2373,1791,1903,582,470,1100,415,706,242,394,173,47,47,1075,2275,1300,1250,1025,1193,0
393,0,2,77.0,76.0,101.0,86.0,2731,2261,2127,1791,604,470,465,315,216,182,249,133,49,47,1175,2275,1300,1250,1025,1193,0
400,0,2,78.0,78.0,101.0,86.0,3336,2289,2687,1819,649,470,728,435,425,242,303,193,49,47,1225,2275,1300,1250,1025,1193,0
407,0,2,82.0,79.0,101.0,94.0,3084,2423,2435,1931,649,492,693,695,379,442,314,253,51,48,1275,2275,1550,1250,1025,1193,0
414,0,2,86.0,84.0,101.0,94.0,3448,2362,2799,1847,649,515,313,255,119,42,194,213,52,50,1500,2275,1550,1250,1025,1193,0
421,0,2,89.0,84.0,101.0,94.0,3778,2334,3107,1819,671,515,574,431,304,162,270,269,53,51,1900,2525,1650,1250,1025,1193,0
429,0,2,93.0,84.0,101.0,94.0,3840,2395,3191,1903,649,492,725,477,554,152,171,325,54,51,2075,2900,1650,1250,1025,1193,0
436,0,2,96.0,84.0,101.0,109.0,3426,2429,2799,1959,627,470,956,743,734,362,222,381,54,51,2250,2900,1650,1550,1025,1193,0
443,0,2,98.0,88.0,101.0,109.0,3392,2457,2743,1987,649,470,896,543,594,352,302,191,55,51,2250,3400,1950,1550,1025,1193,0
450,0,2,98.0,86.0,101.0,117.0,3538,2569,2911,2099,627,470,1307,858,929,607,378,251,51,51,2675,3150,1950,1650,1225,1443,0
457,0,2,100.0,87.0,101.0,117.0,2306,2759,1791,2267,515,492,1533,753,1099,442,434,311,53,51,2800,2900,1950,1650,1225,1693,0
464,0,2,101.0,90.0,101.0,117.0,2093,2866,1623,2351,470,515,1584,1083,1194,712,390,371,52,54,2850,2900,2050,2100,1275,1693,0
471,0,2,101.0,97.0,101.0,117.0,2423,2894,1819,2379,604,515,1309,824,839,397,470,427,54,55,2725,3100,2050,2100,1638,1693,0
479,0,2,101.0,98.0,101.0,117.0,2328,2843,1679,2351,649,492,980,815,434,332,546,483,54,57,2725,3200,2050,2250,1638,1693,0
486,0,2,106.0,110.0,109.0,117.0,2334,2737,1707,2267,627,470,886,541,264,2,622,539,56,58,2725,3200,2050,2250,1763,1693,0
493,0,2,109.0,111.0,109.0,125.0,2440,2877,1791,2407,649,470,886,601,484,102,402,499,59,59,2725,3700,2050,2400,1763,1693,0
500,0,2,118.0,112.0,133.0,125.0,2882,2916,2211,2379,671,537,856,706,474,335,382,371,59,61,2875,3700,2350,2400,1763,1693,0
507,0,2,118.0,114.0,133.0,125.0,2972,3028,2323,2267,649,761,887,826,429,355,458,471,60,63,2925,3700,2350,2400,1763,1693,0
514,0,2,121.0,124.0,133.0,125.0,3134,3319,2463,2491,671,828,443,637,159,70,284,567,61,64,2825,4100,2350,2550,1963,1693,0
521,0,2,124.0,124.0,149.0,125.0,3218,3325,2547,2519,671,806,803,623,314,60,489,563,61,65,3025,4200,2350,2550,1963,1693,0
